ID,Precip_date,Site_name,Latitude,Longitude,Elevation_masl,Commune,Sub_basin,Volunteer_initials,Precip_local_date_time,Precip_date_time,Precip_measurement_local_date_time,Precip_measurement_date_time,Depth_cm,Hardness,Local_name,Grain_size_mm,Temp_oC,Grain_type,Density_kg_m3,Snow_water_equivalent,Precip_mm,ÃŽÂ´18O_H20_1,ÃŽÂ´18O_H20_2,ÃŽÂ´D_H2O_1,ÃŽÂ´D_H2O_2,D_excess_1,D_excess_2,Comment_en,Comment_es,Sub_basin_code
Pin_10,25/06/2021,Mina Los Pingos,-30.945837,-70.495352,1925,Monte Patria,Grande river alto,MD,2021-06-25T16:00,2021-06-25T20:00,2021-06-26T09:00,2021-06-26T13:00,2.3,,plumilla,,,,,,9,,,,,,,Soft rain and then snow at night,lluvia suave y luego nieve en la noche,451
Alc_8,25/06/2021,Alcohuaz,-30.231361,-70.495086,1752,Paihuano,Claro river,JCS,2021-06-25T18:30,2021-06-25T22:30,2021-06-26T10:00,2021-06-26T14:00,0,,,,,,,,2,,,,,,,,,431
Gan_7,25/06/2021,Camping GanÃƒÂ­medes,-30.161729,-70.378645,1721,Paihuano,Claro river,DC,,,,,0,,,,,,,,1,,,,,,,,,431
Emp_5,25/06/2021,El Empedrado,-30.180887,-70.363549,1863,Paihuano,Claro river,LC,,,2021-06-26T09:00,2021-06-26T13:00,0,,,,,,,,2,,,,,,,,,431
EsQu_2,25/06/2021,Escuela Bosque de Quillay,-31.223755,-70.940407,1193,CombarbalÃƒÂ¡,Guatulame river,MG,2021-06-25T17:00,2021-06-25T21:00,2021-06-26T09:00,2021-06-26T13:00,0,,,,,,,,5,,,,,,,,,453
EsMo_2,25/06/2021,Escuela C.H Los Molles,-30.743624,-70.599731,1310,Monte Patria,Grande river medio,JT,2021-06-25T19:15,2021-06-25T23:15,2021-06-26T08:30,2021-06-26T12:30,0,,,,,,,,7,,,,,,,Wind from West,viento oeste,452
EsBe_2,25/06/2021,Escuela Estrella de BelÃƒÂ©n,-31.055672,-70.893944,1181,CombarbalÃƒÂ¡,Guatulame river,CA,,,2021-06-26T08:15,2021-06-26T12:15,0,,,,,,,,6,,,,,,,,,453
EsBr_6,25/06/2021,Escuela Las Breas,-30.385246,-70.597572,1718,RÃƒÂ­o Hurtado,Hurtado river,GO,2021-06-25T21:00,2021-06-26T01:00,2021-06-26T08:00,2021-06-26T12:00,0,,,,,,,,1.5,,,,,,,"Wind from South, soft and intermittent rain","viento sur, lluvia suave e intermitente",450
Hor_6,25/06/2021,HorcÃƒÂ³n,-30.183226,-70.485059,1487,Paihuano,Claro river,AM,2021-06-25T23:00,2021-06-26T03:00,2021-06-26T10:00,2021-06-26T14:00,0,,,,,,,,2.5,,,,,,,Just rain,lluvia simple,431
Ram_5,25/06/2021,Las Ramadas,-31.017125,-70.582831,1391,Monte Patria,Grande river alto,CCo,2021-06-25T17:00,2021-06-25T21:00,2021-06-26T08:00,2021-06-26T12:00,0,,,,,,,,13,,,,,,,,,451
